epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.797,0.86571,3.34855,1.06743,0.00328,1,0.69313,0.64008,0.31329,3.44396,0.8586,5.001e-05,5.001e-05,5.001e-05
2,337.568,0.61047,2.99332,0.99537,0.00331,1,0.65487,0.5765,0.47068,3.45348,0.8914,0.00011438,0.00011438,0.00011438
3,415.589,0.62753,2.39187,0.9413,0.00326,1,0.67309,0.57401,0.58919,3.41692,0.92507,0.000176109,0.000176109,0.000176109
4,489.31,0.59603,1.85107,0.92602,0.0034,1,0.70744,0.63545,0.42221,3.32398,0.88942,0.000235197,0.000235197,0.000235197
5,591.472,0.51456,1.64203,0.89488,0.0034,1,0.89043,0.80815,0.42756,3.27813,0.8925,0.000291645,0.000291645,0.000291645
6,660.836,0.51763,1.53334,0.90682,0.00336,1,0.96107,0.85647,0.44657,3.19518,0.90532,0.000345452,0.000345452,0.000345452
7,730.935,0.50788,1.3194,0.94233,0.00333,1,0.995,0.91157,0.36099,3.12418,0.85468,0.000396619,0.000396619,0.000396619
8,802.282,0.55553,1.26405,0.88847,1,0.22653,0.995,0.92487,0.37478,3.00687,0.83949,0.000445146,0.000445146,0.000445146
9,886.259,0.56462,1.33266,0.89888,0.96831,0.91569,0.995,0.89126,0.44922,2.54032,0.86077,0.000491032,0.000491032,0.000491032
10,961.256,0.49273,1.19952,0.87989,0.98195,0.96182,0.995,0.87251,0.48445,2.13997,0.87019,0.000534277,0.000534277,0.000534277
11,1030.67,0.5237,1.42232,0.9518,1,0.98259,0.995,0.84522,0.47622,2.14654,0.86949,0.000574882,0.000574882,0.000574882
12,1098.54,0.48348,1.2675,0.88525,0.87786,0.88019,0.96671,0.77034,0.61349,2.82746,0.91608,0.000612846,0.000612846,0.000612846
13,1164.45,0.53037,1.1379,0.92072,0.97046,0.5,0.93918,0.80858,0.59046,3.11182,0.93017,0.00064817,0.00064817,0.00064817
14,1230.18,0.48206,1.39514,0.89438,0.93034,0.58494,0.995,0.85653,0.53394,2.83126,0.88273,0.000680853,0.000680853,0.000680853
15,1294.54,0.47602,1.18973,0.87024,0.91905,0.95824,0.9875,0.8684,0.50234,2.39325,0.89477,0.000710895,0.000710895,0.000710895
16,1359.44,0.5283,1.19741,0.88359,0.95947,1,0.995,0.89865,0.46628,1.8422,0.88219,0.000738298,0.000738298,0.000738298
17,1424.52,0.44315,0.99278,0.84782,0.95153,1,0.995,0.86783,0.53446,1.50765,0.90998,0.000763059,0.000763059,0.000763059
18,1488.96,0.51884,1.13071,0.90104,0.97109,1,0.995,0.90147,0.44571,1.46203,0.89426,0.00078518,0.00078518,0.00078518
19,1554.28,0.46923,1.02021,0.87425,0.96021,0.97071,0.995,0.89214,0.43836,1.7128,0.88828,0.000804661,0.000804661,0.000804661
20,1618.38,0.46584,1.14649,0.87031,0.95816,0.91667,0.98357,0.88729,0.46764,1.8577,0.89007,0.000821501,0.000821501,0.000821501
21,1682.29,0.47659,1.23378,0.92075,0.9628,0.99715,0.995,0.84457,0.53067,1.70329,0.88265,0.0008357,0.0008357,0.0008357
22,1746.47,0.51985,1.07764,0.92336,0.99316,0.99754,0.995,0.87902,0.49525,1.507,0.85873,0.000847259,0.000847259,0.000847259
23,1809.43,0.51173,1.24349,0.88611,0.95135,1,0.995,0.88829,0.42746,1.34778,0.83061,0.000856178,0.000856178,0.000856178
24,1872.56,0.47439,1.0712,0.8843,0.98655,0.99435,0.995,0.91784,0.37596,1.20425,0.81309,0.000862456,0.000862456,0.000862456
25,1935.88,0.41296,1.03598,0.82748,0.787,0.86861,0.9311,0.8334,0.36454,1.64684,0.82274,0.000866093,0.000866093,0.000866093
26,1999.53,0.46098,0.96129,0.87108,0.76113,0.89046,0.97607,0.90261,0.35795,1.5542,0.81758,0.000841835,0.000841835,0.000841835
27,2062.49,0.47635,0.98619,0.88087,0.98389,1,0.995,0.91537,0.35137,1.1021,0.82216,0.000808828,0.000808828,0.000808828
28,2125.53,0.4819,1.11464,0.91201,0.99173,1,0.995,0.90089,0.3932,1.1236,0.831,0.000775822,0.000775822,0.000775822
29,2189.02,0.49327,0.9408,0.90529,0.97861,1,0.995,0.91343,0.40708,1.24145,0.83909,0.000742815,0.000742815,0.000742815
30,2252.3,0.48324,1.11984,0.92237,0.98737,1,0.995,0.93838,0.40858,1.17317,0.82519,0.000709809,0.000709809,0.000709809
31,2315.85,0.48539,1.07227,0.84883,0.98964,1,0.995,0.93838,0.39702,1.1437,0.8214,0.000676802,0.000676802,0.000676802
32,2377.24,0.499,0.89472,0.89605,0.99044,1,0.995,0.94245,0.38627,1.11676,0.81918,0.000643795,0.000643795,0.000643795
33,2443.38,0.4386,0.94099,0.88968,0.99177,1,0.995,0.94005,0.41498,1.07047,0.82267,0.000610789,0.000610789,0.000610789
34,2509.44,0.46428,0.85032,0.90031,0.99249,1,0.995,0.90082,0.44689,1.02557,0.828,0.000577782,0.000577782,0.000577782
35,2575.22,0.39627,0.8529,0.8477,0.99321,1,0.995,0.88036,0.45561,1.04449,0.82742,0.000544776,0.000544776,0.000544776
36,2641.88,0.45316,0.88518,0.85557,0.9918,1,0.995,0.87329,0.43441,0.99908,0.82529,0.000511769,0.000511769,0.000511769
37,2708.1,0.43496,0.8277,0.85217,0.98395,1,0.995,0.91202,0.4025,0.98334,0.82276,0.000478762,0.000478762,0.000478762
38,2774.49,0.40801,0.80618,0.84266,0.98757,1,0.995,0.92288,0.37318,0.98009,0.82141,0.000445756,0.000445756,0.000445756
39,2841.07,0.43127,0.84135,0.85141,0.98807,1,0.995,0.90397,0.37781,0.97499,0.82521,0.000412749,0.000412749,0.000412749
40,2906.97,0.4126,0.88484,0.87206,0.98696,1,0.995,0.92195,0.38481,0.99316,0.82637,0.000379743,0.000379743,0.000379743
41,2975.45,0.37076,0.92313,0.85137,0.98438,1,0.995,0.92105,0.37195,0.99707,0.8238,0.000346736,0.000346736,0.000346736
42,3039.94,0.40641,0.91613,0.84591,0.98134,1,0.995,0.91895,0.36778,1.03684,0.82533,0.000313729,0.000313729,0.000313729
43,3101.86,0.34705,0.92537,0.86262,0.98075,1,0.995,0.93198,0.37673,1.11068,0.83011,0.000280723,0.000280723,0.000280723
44,3162.84,0.35367,0.88889,0.8162,0.98173,1,0.995,0.92974,0.35951,1.11897,0.82354,0.000247716,0.000247716,0.000247716
